,hoopR_ID,athlete,nba_api_ID
527,3149673,Pascal Siakam,1627783
528,3150844,Moritz Wagner,1629021
529,3152335,Keljin Blevins,1629833
530,3153165,Chris McCullough,1626191
531,3155526,Dillon Brooks,1628415
532,3155533,Jonah Bolden,1628413
533,3155535,Kevon Looney,1626172
534,3155536,Thomas Welsh,1629118
535,3155942,Domantas Sabonis,1627734
536,3157465,Duncan Robinson,1629130
537,3892818,Emmanuel Mudiay,1626144
538,3892894,Zhou Qi,1627753
539,3893014,Sasha Vezenkov,1628426
540,3893016,Cedi Osman,1626224
541,3893019,Timothe Luwawu-Cabarrot,1627789
542,3893023,Paul Zipser,1627835
543,3893059,Anzejs Pasecniks,1628394
544,3899664,Simone Fontecchio,1631323
545,3904625,Tacko Fall,1629605
546,3906603,Chris Clemons,1629598
547,3906665,Brandon Clarke,1629634
548,3906671,Caleb Swanigan,1628403
549,3906786,Dylan Windler,1629685
550,3906977,Devin Cannady,1629962
551,3907358,Quinndary Weatherspoon,1629683
552,3907385,Brandon Sampson,1629102
553,3907386,Antonio Blakeney,1628469
554,3907387,Ben Simmons,1627732
555,3907408,Donta Hall,1629743
556,3907487,Marquese Chriss,1627737
557,3907497,Dejounte Murray,1627749
558,3907498,Matisse Thybulle,1629680
559,3907525,Allonzo Trier,1629019
560,3907788,Jeremiah Martin,1629725
561,3907821,Dwayne Bacon,1628407
562,3907822,Malik Beasley,1627736
563,3907823,Terance Mann,1629611
564,3908336,Matt Ryan,1630346
565,3908807,Deng Adel,1629061
566,3908809,Donovan Mitchell,1628378
567,3908819,Rayjon Tucker,1629730
568,3908845,John Collins,1628381
569,3908903,Sean McDermott,1630253
570,3911566,Justin Wright-Foreman,1629625
571,3911666,Luis Montero,1626242
572,3911893,Jack McVeigh,1629098
573,3912278,Josh Reaves,1629729
574,3912295,Grant Riller,1630203
575,3912332,Justin Patton,1628383
576,3912334,Khyri Thomas,1629017
577,3912848,Dean Wade,1629731
578,3912854,Jawun Evans,1628393
579,3913174,Luke Kennard,1628379
580,3913176,Brandon Ingram,1627742
581,3913180,Garrison Mathews,1629726
