hoopR_ID,athlete,nba_api_ID,pst_ID
3129674,Donte Grantham,1629055,-1
3129932,Xavier Cooks,1641645,-1
3129951,Elijah Bryant,1629091,-1
3132042,Gary Clark,1629109,711
3133596,Kelan Martin,1629103,741
3133601,Devonte' Graham,1628984,506
3133602,Svi Mykhailiuk,1629004,557
3133603,Kelly Oubre Jr.,1626162,302
3133626,Kenrich Williams,1629026,586
3133628,Myles Turner,1626167,274
3133635,Jevon Carter,1628975,525
3133817,Eric Paschall,1629672,570
3133838,Yuta Watanabe,1629139,512
3133843,Jared Terrell,1629123,-1
3133874,Jaylen Adams,1629121,513
3134880,Kadeem Allen,1628443,433
3134881,Stanley Johnson,1626169,171
3134903,Gary Payton II,1627780,405
3134907,Kyle Kuzma,1628398,427
3134908,Jakob Poeltl,1627751,522
3134916,Jordan McLaughlin,1629162,638
3134932,John Konchar,1629723,656
3135045,Grayson Allen,1628960,545
3135046,Tyus Jones,1626145,86
3135047,Justise Winslow,1626159,11
3135048,Jahlil Okafor,1626143,101
3136183,Yante Maten,1628999,-1
3136193,Devin Booker,1626164,243
3136194,Tyler Ulis,1627755,474
3136195,Karl-Anthony Towns,1626157,555
3136196,Trey Lyles,1626168,546
3136477,Isaiah Whitehead,1627785,261
3136479,Angel Delgado,1629116,-1
3136483,J.P. Macura,1629122,-1
3136485,Edmond Sumner,1628410,499
3136491,D.J. Wilson,1628391,420
3136696,Wade Baldwin IV,1627735,307
3136746,Vic Law,1629724,635
3136776,D'Angelo Russell,1626156,31
3136777,Jae'Sean Tate,1630256,726
3136779,Keita Bates-Diop,1628966,543
3136989,Vincent Edwards,1629053,-1
3137259,Gabe Vincent,1629216,611
3137713,Zylan Cheatham,1629597,801
3137730,Patrick McCaw,1627775,254
3137733,Rashad Vaughn,1626173,276
3137795,Chris Chiozza,1629185,632
3137798,Devin Robinson,1628421,391
3138120,Mindaugas Kuzminskas,1627851,317
3138154,Theo Pinson,1629033,833
3138156,Justin Jackson,1628382,434
3138160,Caleb Martin,1628997,696
3138161,Cody Martin,1628998,619
3138192,Bonzie Colson,1629045,-1
3138196,Cameron Johnson,1629661,564
3138201,Marial Shayok,1629621,-1
3143565,Kevin Hervey,1628987,-1
3146557,Jock Landale,1629111,767
3147351,Daniel Hamilton,1627772,408
3147366,Chinanu Onuaku,1627778,244
3147657,Mikal Bridges,1628969,-1
3149010,Chandler Hutchison,1628990,526
3149036,Matt Mooney,1629760,798
3149059,Tariq Owens,1629745,-1
3149673,Pascal Siakam,1627783,363
3150844,Moritz Wagner,1629021,511
3152335,Keljin Blevins,1629833,674
3153165,Chris McCullough,1626191,121
3155526,Dillon Brooks,1628415,539
3155533,Jonah Bolden,1628413,533
3155535,Kevon Looney,1626172,16
3155536,Thomas Welsh,1629118,-1
3155942,Domantas Sabonis,1627734,401
3157465,Duncan Robinson,1629130,805
3892818,Emmanuel Mudiay,1626144,43
3892894,Zhou Qi,1627753,437
3893014,Sasha Vezenkov,1628426,889
3893016,Cedi Osman,1626224,464
3893019,Timothe Luwawu-Cabarrot,1627789,275
3893023,Paul Zipser,1627835,284
3893059,Anzejs Pasecniks,1628394,608
3899664,Simone Fontecchio,1631323,859
3904625,Tacko Fall,1629605,562
3906603,Chris Clemons,1629598,670
3906665,Brandon Clarke,1629634,569
3906671,Caleb Swanigan,1628403,426
3906786,Dylan Windler,1629685,666
3906977,Devin Cannady,1629962,724
3907358,Quinndary Weatherspoon,1629683,678
3907385,Brandon Sampson,1629102,-1
3907386,Antonio Blakeney,1628469,383
3907387,Ben Simmons,1627732,419
3907408,Donta Hall,1629743,633
3907487,Marquese Chriss,1627737,460
3907497,Dejounte Murray,1627749,236
3907498,Matisse Thybulle,1629680,602
3907525,Allonzo Trier,1629019,541
3907788,Jeremiah Martin,1629725,-1
3907821,Dwayne Bacon,1628407,481
3907822,Malik Beasley,1627736,293
3907823,Terance Mann,1629611,599
3908336,Matt Ryan,1630346,869
3908807,Deng Adel,1629061,-1
3908809,Donovan Mitchell,1628378,444
3908819,Rayjon Tucker,1629730,-1
3908845,John Collins,1628381,439
3908903,Sean McDermott,1630253,690
3911566,Justin Wright-Foreman,1629625,-1
3911666,Luis Montero,1626242,20
3911893,Jack McVeigh,1629098,-1
3912278,Josh Reaves,1629729,-1
3912295,Grant Riller,1630203,639
3912332,Justin Patton,1628383,478
3912334,Khyri Thomas,1629017,549
3912848,Dean Wade,1629731,607
3912854,Jawun Evans,1628393,381
3913174,Luke Kennard,1628379,392
3913176,Brandon Ingram,1627742,351
3913180,Garrison Mathews,1629726,614
3913220,DaQuan Jeffries,1629610,689
3913546,Melvin Frazier Jr.,1628982,507
3914044,Landry Shamet,1629013,560
3914075,Xavier Moon,1629875,814
3914283,Chimezie Metu,1629002,583
3914285,Drew Eubanks,1629234,677
3915195,Shake Milton,1629003,521
3915560,Tyler Dorsey,1628416,417
3917376,Jaylen Brown,1627759,320
3917378,Ivan Rabb,1628397,390
3918423,Admiral Schofield,1629678,834
3918424,Kyle Alexander,1629734,623
3919335,Cheick Diallo,1627767,314
3919347,Chima Moneke,1631320,853
3919454,Terence Davis,1629056,754
3922230,Aaron Holiday,1628988,775
3923250,PJ Dozier,1628408,470
3923253,Chris Silva,1629735,637
3926491,Isaac Humphries,1629353,-1
3929314,Nicolas Brussino,1627852,323
3929321,Gabriel Deck,1630466,722
3929325,Furkan Korkmaz,1627788,387
3934621,Jacob Evans,1628980,520
3934662,Tyler Lydon,1628399,413
3934663,Malachi Richardson,1627781,298
3934670,Marcus Derrickson,1629094,-1
3934672,Jalen Brunson,1628973,663
3934673,Donte DiVincenzo,1628978,527
3934719,OG Anunoby,1628384,487
3934721,Juwan Morgan,1629752,585
3934723,Thomas Bryant,1628418,394
3936099,Derrick Jones Jr.,1627884,269
3936296,Skal Labissiere,1627746,237
3936298,Mychal Mulder,1628539,802
3936299,Jamal Murray,1627750,454
3937101,Deyonta Davis,1627738,316
3943606,Jerome Robinson,1629010,538
3946974,Devontae Cacok,1629719,745
3947156,Mamadi Diakite,1629603,698
3948153,Chris Boucher,1628449,486
3952343,Jaylen Morris,1628537,1036
4011991,Dragan Bender,1627733,333
4017837,Ivica Zubac,1627826,242
4017838,Ante Zizic,1627790,373
4017839,Juancho Hernangomez,1627823,282
4017843,Thon Maker,1627748,495
4017844,Guerschon Yabusele,1627824,367
4017846,Georgios Papagiannis,1627834,249
4064727,Josh Magette,203705,416
4064730,Tim Quarterman,1627817,256
4065635,Ky Bowman,1629065,625
4065648,Jayson Tatum,1628369,498
4065649,Harry Giles III,1628385,540
4065651,Frank Jackson,1628402,530
4065652,Marques Bolden,1629716,-1
4065653,Jack White,1631298,867
4065654,Jonathan Isaac,1628371,388
4065656,Trent Forrest,1630235,646
4065660,Mfiondu Kabengele,1629662,702
4065663,Josh Okogie,1629006,574
4065670,Bruce Brown,1628971,519
4065672,Dewan Hernandez,1629608,582
4065673,Tony Bradley,1628396,382
4065697,Dennis Smith Jr.,1628372,379
4065730,Kyle Guy,1629657,-1
4065731,Jay Huff,1630643,877
4065732,De'Andre Hunter,1629631,587
4065733,Ty Jerome,1629660,584
4065778,Max Strus,1629622,576
4065804,Sam Hauser,1630573,765
4065805,Markus Howard,1630210,676
4065816,Myles Powell,1629619,720
4065836,Omari Spellman,1629016,508
4066211,Robert Williams III,1629057,505
4066212,Jordan Bone,1629648,563
4066218,Grant Williams,1629684,659
4066240,Braxton Key,1630296,929
4066248,Jared Harper,1629607,615
4066259,De'Aaron Fox,1628368,441
4066261,Bam Adebayo,1628389,493
4066262,Malik Monk,1628370,591
4066264,Wenyen Gabriel,1629117,644
4066268,Duop Reath,1641871,926
4066269,Skylar Mays,1630219,831
4066297,Josh Jackson,1628367,451
4066299,Udoka Azubuike,1628962,725
4066303,Xavier Sneed,1630270,-1
4066317,Lindy Waters III,1630322,868
4066320,Desmond Bane,1630217,813
4066328,Jarrett Allen,1628386,403
4066334,Rawle Alkins,1628959,-1
4066335,Kobi Simmons,1628424,374
4066336,Lauri Markkanen,1628374,440
4066354,Payton Pritchard,1630202,685
4066367,Tyler Cook,1629076,817
4066372,Kevin Huerter,1628989,544
4066382,Cassius Winston,1630216,750
4066383,Miles Bridges,1628970,728
4066387,Amir Coffey,1629599,566
4066392,Isaiah Roby,1629676,600
4066399,Micah Potter,1630695,976
